rank,word,lemma,band,zipf,sc_option_exams,was_the_correct_answer_in,restatement_exams,exams_any_role,total_occurrences,weighted_score
188,reclaim,reclaim,off~C2,3.44,2,1,0,2,2,10
189,proclamation,proclamation,off~C2,3.44,2,0,0,2,2,10
190,sterile,sterile,off~C2,3.43,2,1,0,2,2,10
191,stale,stale,off~C2,3.43,2,0,0,2,2,10
192,discreet,discreet,off~C2,3.43,2,0,0,2,2,10
193,proficiency,proficiency,off~C2,3.43,2,1,0,2,2,10
194,abduction,abduction,off~C2,3.43,2,0,0,2,2,10
195,facade,facade,off~C2,3.42,2,0,0,2,2,10
196,dormant,dormant,off~C2,3.41,2,0,0,2,2,10
197,condense,condense,off~C2,3.4,2,0,0,2,2,10
198,intimidation,intimidation,off~C2,3.39,2,0,0,2,2,10
199,banish,banish,off~C2,3.39,2,1,0,2,2,10
200,affluent,affluent,off~C2,3.37,2,0,0,2,2,10
201,conspicuous,conspicuous,off~C2,3.35,2,0,0,2,2,10
202,heresy,heresy,off~C2,3.35,2,0,0,2,2,10
203,ponder,ponder,off~C2,3.35,2,1,0,2,2,10
204,erratic,erratic,off~C2,3.34,2,1,0,2,2,10
205,fling,fling,off~C2,3.33,2,0,0,2,2,10
206,negligent,negligent,off~C2,3.33,2,0,0,2,2,10
207,vowel,vowel,off~C2,3.33,2,1,0,2,2,10
208,receptive,receptive,off~C2,3.32,2,0,0,2,2,10
209,relapse,relapse,off~C2,3.32,2,0,0,2,2,10
210,afflict,afflict,off~C2,3.29,2,0,0,2,2,10
211,predicament,predicament,off~C2,3.28,2,0,0,2,2,10
212,accomplice,accomplice,off~C2,3.22,2,0,0,2,2,10
213,accompaniment,accompaniment,off~C2,3.22,2,2,0,2,2,10
214,affirm,affirm,off~C2,3.2,2,0,0,2,2,10
215,detour,detour,off~C2,3.2,2,0,0,2,2,10
216,nutritious,nutritious,off~C2,3.18,2,1,0,2,2,10
217,deduct,deduct,off~C2,3.16,2,0,0,2,2,10
218,contemplation,contemplation,off~C2,3.15,2,0,0,2,2,10
219,tranquil,tranquil,off~C2,3.14,2,1,0,2,2,10
220,rebuke,rebuke,off~C2,3.1,2,0,0,2,2,10
221,gratify,gratify,off~C2,3.07,2,0,0,2,2,10
222,trample,trample,off~C2,3.07,2,0,0,2,2,10
223,assimilate,assimilate,off~C2,3.07,2,0,0,2,2,10
224,yawn,yawn,off~C2,3.07,2,0,0,2,2,10
225,observant,observant,off~C2,3.05,2,0,0,2,2,10
226,decadent,decadent,off~C2,3.04,2,0,0,2,2,10
227,legislate,legislate,off~C2,3.01,2,0,0,2,2,10
228,punctuate,punctuate,off~C2,2.98,2,0,0,2,2,10
229,resentful,resentful,off~C2,2.97,2,0,0,2,2,10
230,pounce,pounce,off~C2,2.97,2,0,0,2,2,10
231,taunt,taunt,off~C2,2.96,2,0,0,2,2,10
232,rehearse,rehearse,off~C2,2.94,2,0,0,2,2,10
233,congregate,congregate,off~C2,2.92,2,0,0,2,2,10
234,recline,recline,off~C2,2.91,2,0,0,2,2,10
235,reprimand,reprimand,off~C2,2.9,2,0,0,2,2,10
236,shrill,shrill,off~C2,2.88,2,0,0,2,2,10
237,innocently,innocently,off~C2,2.88,2,0,0,2,2,10
238,indignant,indignant,off~C2,2.86,2,0,0,2,2,10
239,legible,legible,off~C2,2.8,2,0,0,2,2,10
240,irate,irate,off~C2,2.78,2,0,0,2,2,10
241,pacify,pacify,off~C2,2.73,2,0,0,2,2,10
242,relent,relent,off~C2,2.71,2,1,0,2,2,10
243,omniscient,omniscient,off~C2,2.71,2,0,0,2,2,10
244,feign,feign,off~C2,2.65,2,1,0,2,2,10
245,jubilant,jubilant,off~C2,2.63,2,0,0,2,2,10
246,confidentially,confidentially,off~C2,2.61,2,0,0,2,2,10
247,inoffensive,inoffensive,off~C2,2.56,2,0,0,2,2,10
248,conditionally,conditionally,off~C2,2.52,2,0,0,2,2,10
249,reverent,reverent,off~C2,2.46,2,0,0,2,2,10
250,transgress,transgress,off~C2,2.34,2,0,0,2,2,10
251,enviously,enviously,off~C2,1.9,2,0,0,2,2,10
